timestamp,direction,confidence,entry_price,stop_loss,take_profit,position_size,risk_score,expected_upside,expected_downside,risk_reward_ratio,max_loss,max_profit,buy_probability,hold_probability,sell_probability,date,actual_close
2026-02-12 23:08:42.764449,HOLD,3.2519952242182626e-05,0.2635,0.2635,0.2635,0.0,9.263265877962112,0.6863720417022705,-1.1318007707595825,0.6064424582796736,0.0,0.0,0.04829529789276421,72.33150005340576,27.620208263397217,2026-02-12 14:30:00+05:30,0.2635
2026-02-12 23:08:42.765324,SELL,0.027616581064648926,0.26484,0.2685643728013516,0.2631487523031235,7551.729346020238,10.191823542118073,0.6385922431945801,-1.4062727689743042,0.4541026871055402,28.12545537948627,12.771844863891465,0.016057118773460388,30.679872632026672,69.30407285690308,2026-02-12 14:45:00+05:30,0.26484
2026-02-12 23:08:42.766118,SELL,0.004326747148297727,0.2656,0.26973348225784305,0.263598500453949,7530.120481927711,11.428076028823853,0.7535766363143921,-1.5562809705734253,0.484216314767847,31.125619411468723,15.07153272628765,0.01237390679307282,42.169275879859924,57.81835317611694,2026-02-12 15:00:00+05:30,0.2656
2026-02-12 23:08:42.766859,HOLD,0.00012789859056283603,0.2658,0.2658,0.2658,0.0,10.502573847770691,0.755977988243103,-1.339337944984436,0.5644415519429549,0.0,0.0,0.02587915223557502,65.62785506248474,34.34626758098602,2026-02-12 15:15:00+05:30,0.2658
2026-02-12 23:08:42.767749,HOLD,1.9161285536029027e-05,0.2657,0.2657,0.2657,0.0,10.568323731422424,0.8094844818115234,-1.2852476835250854,0.6298276139205536,0.0,0.0,0.03795213997364044,81.16445541381836,18.79759579896927,2026-02-12 15:30:00+05:30,0.2657
2026-02-12 23:08:42.768481,HOLD,1.7145552533293085e-06,0.2652,0.2652,0.2652,0.0,10.447575896978378,0.8886758089065552,-1.159026026725769,0.7667436178435534,0.0,0.0,0.10463657090440392,95.85573673248291,4.039620980620384,2026-02-12 15:45:00+05:30,0.2652
2026-02-12 23:08:42.769151,HOLD,1.927450732353009e-06,0.2656,0.2656,0.2656,0.0,10.41291356086731,0.87883460521698,-1.1620972156524658,0.7562487831308963,0.0,0.0,0.09772890480235219,95.3425645828247,4.559703171253204,2026-02-12 16:00:00+05:30,0.2656
2026-02-12 23:08:42.769846,SELL,1.4785664156079292,0.2691,0.2745721272096634,0.266917110622108,7432.181345224823,13.911646604537964,0.8111814856529236,-2.033492088317871,0.3989105688254448,40.66984176635742,16.223629713058465,0.0028257059966563247,16.137774288654327,83.85940194129944,2026-02-12 16:15:00+05:30,0.2691
2026-02-12 23:08:42.770480,HOLD,2.098442486442309e-06,0.267,0.267,0.267,0.0,11.48456558585167,0.9972239136695862,-1.2790483236312866,0.7796608581905757,0.0,0.0,0.0884329725522548,96.70142531394958,3.210149332880974,2026-02-12 16:30:00+05:30,0.267
2026-02-12 23:08:42.771172,SELL,0.004236053428030573,0.2692,0.27396439677000045,0.26688592131900785,7429.420505200595,12.904955446720123,0.8596131801605225,-1.769835352897644,0.4857023444317179,35.396707057952874,17.192263603210616,0.007951002044137567,43.632715940475464,56.3593327999115,2026-02-12 16:45:00+05:30,0.2692
